No.,Tweet,Label,Words,Notes,Contributor
777,Get your reusable bags and your appetites ready -- the Farmers' Market opens this weekend!! https://t.co/4vzqirorPv,NR,,business,
778,lady @ sturgeon bay farmers market lit tried steal the bok choy I had in my hand.,availability,bok choy,,
779,Started my day in St. Louis with @whitecastle and soulardmarket #stl #stlouis with some of my favorite peep. @ Soulard Farmers Market https://t.co/fW93vlI4jY,NR,,,
780,Summertime = Heirloom Tomatoes. Thanks Jon First. Evanston Farmers Market🍅 @ Oceanique https://t.co/v07JeRBW0V,NR,,,
781,"Our Farmers Market is open! Join us Monday evenings through October 15 for fresh, local, sustainable goods. More details can be found here: https://t.co/VSWPE2UZWV https://t.co/wRCnOMaTLT",quality,"open, through, fresh local, sustainable",business,
782,The Downtown Farmers Market is open now on the square! #prairiepress https://t.co/5vetPAigKe,NR,open now,business,
783,@NonamePoetRubio the other was a farmers market on wheels. Everything in a produce section and cafeteria on wheels going from neighborhood to neighborhood 😂😂,environment,neighorhood,,
784,My first weekend as a part of the Artisan Collective Batavia at the Farmers' Market—3rd Saturdays - Come on buy and support local artists! https://t.co/jJH9dY8Rxj,environment,"collective, artists",,
785,Picked up some strawberries and asparagus at the Old Capital Farmers Market with Stella this morning. https://t.co/idA355jkU5,availability,"strawberries, asparagus",,
786,Saturday Morning at the Pleasantville Farmers Market  https://t.co/RpBX0gIU0d via @MoreTime2Travel https://t.co/cUJ3DGO23s,NR,,,
787,"Chantel will be in Michigan the second week of August performing solo at the Book Nook & Java Shop in Montague on August 10, and at the Muskegon Farmers Market the morning of August 11! If… https://t.co/EkHxyrgPjg",environment,permorming solo,,
788,A clear summer 2018 staple...Farmer's Markets! - See the complete list for #ChicagoNorthShore: https://t.co/GOP7tiopxI https://t.co/GOP7tiopxI,NR,,,
789,"Just a reminder, some of your favorite vendors may be in a different location tomorrow do to the GLT Summer Concert.  Be sure to check out the interactive map so you know where you need to go! https://t.co/6QA9hq7AEj",NR,"reminder, vendors, location, check out, map",business,
790,@PstafarianPrice @ChicagosMayor It's already a well used space. This is the Low-Line Farmers Market. https://t.co/RG3YEEqHpF,NR,,,
791,Happy #FarmersMarket Day! We’re here and ready for another successful year. We hope that you’re able to make it out today from now until 7 p.m. Stop by our table to get your “Healthy Recipes” card. This week’s recipe is Spring Lentil and Asparagus Tacos with Radish Sprouts. https://t.co/ArNjP7aw6M,NR,stop by our table,business,
792,"Today is HUNTLEY FARMERS MARKET & CRAFT FAIR at October 6, 2018 at 8:00 AM - 1:00 PM! https://t.co/LcNipm6sdY",NR,today is ,business,
793,"Little Me Play Studio will be hosting our Growing project from 9-11am on Saturday during the farmers market. Swing on by and see what they’re all about and have planned.  

Also, we will be taking sidewalk chalk donations!",environment,"donations, hosting, play studio",,
794,FARMERS MARKET: Naperville has three different farmers markets to choose from for those looking for fresh food and good fun. Here's the story: https://t.co/5GXr7vjScj,convenience,"three different, choose, looking for, fresh",,
795,"If you are a summer soup lover, this farmers' market Corn and Potato Soup is for you! https://t.co/TebdOYOZJy",availability,"corn, potato",,
796,"Tomorrow, @PhysicsIllinois is bringing Science at the Market: Pollinators to the Farmers Market at Lincoln Square mall in Urbana. Learn more: https://t.co/JPJAPxJBB9",NR,"science, pollinators",,educators
797,"The #WickerPark #FarmersMarket: Where tomatoes, peaches and petitions are in season. 
(The signature collectors I spotted were there for @RahmEmanuel). TIP: To be valid, #Chicago residents can only sign the petitions of ONE of the dozen candidates running for mayor. Just one! https://t.co/6zkauys8cA",politics,"tomatoes, peaches, petitions, candidates ,mayor",,
798,I checked in at Fresh Thyme Farmers Market on #Yelp https://t.co/sHKCyq9xnH,NR,checked in,,
799,If you are going to the Farmers Market please remember to park legally. See attached link for parking info. #evanstonfarmersmarket   https://t.co/Q1fvpVtMHj,convenience,park,,
800,Here's a tomato sauce recipe that you can make with all the tomatoes from your garden or the farmers market. https://t.co/qSfE6nTMMy,NR,tomato sauce,,
801,Join us tomorrow June 13th at Palos Heights Farmers Market! https://t.co/oIKAXdFTWL,NR,join us tomorrow,business,
802,I just couldn’t say away from Steph and more beir @ Soulard Farmers Market https://t.co/hPCgOn9UoU,NR,,,
803,Just spent $3 on a banana at the farmers market at LAX AMA,availability,banana spend $,,
804,Find us every Saturday at the Division St and the Lincoln Park #farmersmarket. #chicagodonuts https://t.co/eWjI8QvLXV,NR,find ut,business,
805,"Our friends from @BrewLimitless will be pulling up to our Sidewalk Farmers Market in Darien, this Saturday, with samples of cold brew coffee & their new lightly caffeinated sparkling water! Sip & shop from 12:30-3:30 😎 *Darien location only. 2141 W. 75th St https://t.co/wdSuFnP5LG",NR,,business,
806,Farmers Market @ St. John's Episcopal Church Tomorrow at 3:00 pm https://t.co/HWBGif1a9C via @PNdaily,NR,,business,
807,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @askdrmemo https://t.co/uoGVvWRptm",NR,,,
808,"The Wicker Park Farmers Market kicks off today! Stop by and grab some bagels, cream cheese, and try @hotdougs Atomic Brobagel Dog available exclusively here. @WickerParkBuck https://t.co/IbzcTfHAUa",NR,"kicks off, stop by, grab some, available",business,
809,"The Historic Downtown Plainfield Farmers Market opens this Sunday, June 3 from noon to 4:00 PM! https://t.co/DUCWjfXwsv https://t.co/ha7bAPZhgP",NR,opens,business,
810,Andersonville Farmers Market - Week 16 - Last 8PM market! - https://t.co/xMgkJtKHKt https://t.co/tyhXQGqq4B,NR,last,business,
811,"PRESTO PESTO!!!Four for Four! FOUR Farmers Markets in FOUR days!! Ready, Set, GO!!!
Gluten Free Goodies for EVERYONE!!!
Come hungry! You wil be glad you did!!! 
Visit https://t.co/bLgvjrbGMm for our Farmers Market schedule https://t.co/zVWcHMF3Ns",NR,,business,
812,Our local Farmers Market Managing Organization (Pembroke Locally Grown) gives out a few egg laying chickens. Are yours! Except when the chicks becomes egg laying Hens. You have to give Locally Grown eggs or meat. This feeds local families.,environment,"feeds, local families",,
813,"Today's haul from the Redland Farmers Market in Deep South Dade County, plus a belly full of Mexican food and a strawberry-Key lime milkshake. https://t.co/ZdrT75jBhB",NR,,,
814,"@amosedale @slines @lawyer1mom @brendaslynn @Seaglass67 @NantucketGal @pacearly @ShiCooks @DoorHardwareLux @sandyconnolly @JLSchultheis A hard freeze last night. Off to farmers market with Hannah, coffee in hand.",environment,coffee,,
815,"Check out this week's enewsletter to find out what's happening at the August 4th Farmers' Market, https://t.co/uDUq9g4hxC https://t.co/uDUq9g4hxC",NR,check out,business,
816,We will be attending the Downtown Bloomington Farmers' Market tomorrow morning.  We had to miss many weeks and are looking forward to seeing everyone Saturday.  See you soon!,NR,"attending, looking forward to seeing",business,
817,"FARMERS MARKET TODAY 3-7! Restock your post-holiday supply of fresh fruit, veggies and lots more at the West Town Health Market near Division and Oakley. Triple Value Matching on all LINK transactions (up to $15). *In case of bad weather, the market will move to the NFC Gym.* https://t.co/EwpqvLFZlf",NR,"today, beggies",business,
818,Sunday morning at the Portage Park Farmers Market https://t.co/qlAwqfnT4t,NR,,,
819,"To ensure our guests have the freshest produce, we partner with local #Chicagoland farms and farmers markets to source our vegetables. Where's your favorite farmers market? 

#hearthrestaurant #evanston #healthyliving https://t.co/Lx8qv7eREh",quality,"source, freshest produce, begetables",,
820,"FARMERS MARKET TODAY! West Town Health Market is open every Thursday from 3-7 at Division and Oakley at Presence Saints Mary and Elizabeth Medical Center. Come on over and pick up your weekend produce, bread, eggs, meat and more! $3 for $1 SNAP/LINK matching! https://t.co/IDI6gXokyu",NR,"open every, come on over, pick up your",business,
821,"Farmers' markets season in Cape Girardeau kicks off today! The Cape Farmers' Market is open in the Macy's lot at West Park Mall until 5 p.m. today (Thursday). The Cape Riverfront Market starts on Saturday, May 5. https://t.co/Z1Lcm2JASi",NR,"open, kicks off today",business,
822,I’m ready to go to the farmers market,NR,,,
823,@Schwarzenegger How do u cut fish @JapanGov looking for nerves @PutinRF_Eng more clearly veins @HUDgov cook look white @DocYilk food borne illness. Farmers markets systems. Look off film buyers & sellers. Toxicology due because them junkies real junkies trafficking addicts addictions practices©,safety,"food borne illness, toxicology, practices",,
824,"Find fresh produce, local goods and more at a farmers market! There's one happening every day across the city & suburbs: https://t.co/IBcS1UcdQk #Chicago #ChicagoBestBets https://t.co/rESHTVRotW",quality,"fresh produce, local goods",business,
825,"During the summer, raspberries and other plump berries are at their peak of sweetness. On July 31st, pick some fresh raspberries at the farmers market, and help celebrate National Raspberry Cake Day. 
https://t.co/SCMG9I78u1
#RecipeSavants #NationalRaspberryCakeDay #Desserts https://t.co/zn92JNshPl",quality,"raspberries, plump berries, sweetness,",business,
826,The Pekin Farmers Market is looking for volunteers to help on Market days this summer. Interested? Fill out an application here ---> https://t.co/Nyb6ZgD0Ec #PekinFarmersMarket,environment,"volunteers, applications",,
827,New scents available this Saturday at the @twincitymarket 8am-noon. All scents available in candles and wax melts. #soy #woodenwick #candles #waxmelts @ Twin City Farmers Market https://t.co/U54Hiv7TEu,NR,,business,
828,Just two dates left for musicians who want to play the farmers' market this season.  August 30 and September 5 are still available.  You will find the application here: https://t.co/pmCMHYIIq4,NR,"musicians, play",,
829,"@Manruss @robneyer “Now, it is time to add the avocados. Now, we very clearly asked for cinco, but there are only five in the bag from the farmers market. Was this a simple oversight, or is it just another example of a possible illegal staking a claim to something I earned? That’s for you to decide",availability,avocados,,
830,"Join us this afternoon at 2747 W. 63rd Street for jum'ah prayer. The khutbah begins promptly at 1 pm, and be sure to stick around for Fresh Beats & Eats Farmers Market immediately after from 2-6 pm! https://t.co/dPaWp0fMLs",NR,join us,business,
831,"Looking to spice up your meals with fresh produce from local farmers? Be sure to visit The Highland Park Farmers Market, which is happening today, September 18 from 3 PM – 7:30 PM, at the Harvest Bible Chapel Parking Lot, 1731 Deerfield Road... https://t.co/INDgJUIr4p https://t.co/kvwFziGI79",NR,happening today,business,
832,@BunkerRecipes D hopefully 🤞🏼 #savetimeless farmers markets are #timeless,NR,,,
833,"Planning a trip to the #OakPark Farmers' Market this Saturday? The Go Green Days special event continues this week with an interactive worm/soil display, seed potting for kids & more. The Market is held from 7 a.m. - 1 p.m. every Saturday. More info is at https://t.co/rMC0NhL447. https://t.co/fEUWp6TiQC",NR,held from every at,business,
834,Have you checked out the La Grange Farmers Market yet?! Every Thursday from 7am - 1pm take a tour visiting nearly 30 farmers and artisans with diverse specialty items. Visit the Market then visit us! #LaGrangeBiz #LaGrangeIL #LaGrangeFarmersMarket,NR,visit us!,business,
835,"No need to say ""come and get them while they're hot"" because we sell out so quick, they don't have a chance to cool down, here at the Hyde Park 61st Street Farmers Market @pleasanthousebakery @phpub https://t.co/cKRdphekuC https://t.co/enF9XvNikz",NR,"sell so quick, here at",business,
836,"Baseball Season is in full swing! I'm a mama first and I love watching my boys play!

I will not be attending the Jefferson St. Farmers Market Farmers Market this evening.

I will return with the best handmade goat... https://t.co/Yk4URmgehO",NR,,,
837,"Always a quick stop when here (@ Soulard Farmers Market in Saint Louis, MO) https://t.co/k1A0KJtYT0",NR,,,
838,"The fireworks may be exploding in the sky tomorrow, but the flavors will be exploding in your mouth when you shop for the 4th of July at the Champaign Farmers Market! We open this afternoon at 3:30 in the parking lot by Neil & Main in Downtown Champaign. https://t.co/OXq2hloZWb https://t.co/kwMtktOSC0",NR,we open at,business,
839,Cape Riverfront Market to close early Saturday due to heat https://t.co/wXFbIhpqLx https://t.co/DyzdxXxj8Z,NR,,,
840,Make sure you come see HEATHER'S HAUS at the farmers market today!,NR,you come see today!,business,
841,Taking inventory in my studio today while I watch the gallery. Come see me when you come to farmers market. Here until 2:00pm. @InsideOutCoop #buylocal #farmersmarket @ Inside Out:… https://t.co/o6PdkabVmM,NR,"come see me, here until",business,
842,"Once again @HalfAcreBeer is killin it with pizza and farmers market Wednesday, hopefully next time @darthhull @GueuzeyJen can join! 💯💯💯🍺🍺🍕🍕",NR,,,
843,"Come by the Deerfield Farmers Market this Saturday, July 28 for Kamishibai Storytelling. Meg Anthony, DPL Head of Youth Services, will share this traveling Japanese storytelling tradition. 

Storytimes at the Library tent will be 9:00-9:30 AM and 10:30-11:00 AM. #DeerfieldLibrary https://t.co/1iy2nqNdXO",NR,"come by this, will",business,
844,Opening day of the @EvanstonMarkets Farmers' Market is underway! Stop by through 1 p.m. and every Saturday in #Evanston @DowntwnEvanston  https://t.co/8HlkUY782L https://t.co/ncehsO9CMV,NR,"opening day, stop by through",business,
845,Are you ready for the The Hyde Park Farmers Market on June 7th?! https://t.co/90KKchlgQq,NR,,,
846,Planted a sunflower today I picked up at the farmers market yesterday. Looking forward to see how it does. #GreenThumb https://t.co/OLbYDI8tTL,NR,,,
847,Don't let the threat of rain scare you away from Saturday's Farmers' Market. Remember we are a Rain or Shine market. Click the link to the our E-newsletter to see which vendors will be at the... https://t.co/CSwhwhpejO,NR,,,
848,@LemontChamber Hey!  Remember when you had a Farmers Market?  Why did you get rid of that?,NR,,,
849,"My timeline has been kind of intense lately, so here are some nice photos I took at the farmers market on my way home. Enjoy! https://t.co/CH60htKscm",environment,nice photos,,
850,"Stop by & see the Center for Women's Health tonight at the Illinois Products Farmers' Market till 7 p.m. @LincolnLand Culinary is also here passing out samples of this week's recipe, ""Stuffed Pepper Soup""! #Farmersmarket #springfield https://t.co/9Tfl2LdkU2",NR,"stop by see, till",business,
851,"Antioch's Farmers Market
Published by Toni Rahn Galster · Just now · 
Our Farmers Market Schedule is as follows. There will be a Market on Thursday, August 9th, August 16th and August 23rd.... https://t.co/jgeEY8silS",NR,"just now, there will be",business,
852,Upcoming Event: Hinsdale Farmers Market 2018 Season - 7/16/2018  https://t.co/9TldZCAaO7,NR,"upcoming event, season",business,
853,"Mason loves scented soaps. It’s hard to get him to walk by a display without smelling each kind. 

I got him some at the farmers market. They had all kinds of novelty scents for children with names like “Monkey... https://t.co/jdTqKCZ3S1",environment,"loves scented soaps, children",,
854,@Venom0wl @AnUndineSoul I was up that direction today for the farmers market,NR,,,
855,"Come see us at the Old Capitol Farmers Market! We are at the corner of 4th and Adams. We have giveaways, recipe books and information about the St. John’s Children’s app. Don’t forget to enter for a chance to... https://t.co/CIkG5WtHIm",NR,come see us at,business,
856,"It might feel like summer tomorrow, but it will taste like fall at the Champaign Farmers Market with delicious ice cream flavors including pumpkin cheesecake and pumpkin spice latte! Find out what else is lined up: https://t.co/3Ofuc61o6X https://t.co/7SPBs01ep0",quality,"taste like, delicious flavors",,
857,"So, if like me, you were wondering why the House #FarmBill proposes radical changes like cutting CSP, the entire local food/ farmers market program, specialty crops, and organic certification cost share, this is why:

The language comes right from @RepublicanStudy Cmte https://t.co/4sxKaVaR56",politics,"local food, specialty crops, organic",,
858,beautiful flowers at the farmers market this morning☀️ https://t.co/nqFot9CKb3,environment,flowers,,
859,The Gurnee Farmers’ Market is back and better than ever! https://t.co/nDFJ4rIrM3,quality,better than ever,,
860,The Farmers' Market returns to @DowntwnEvanston this Saturday at 7:30am! Up to 58 vendors will sell a variety of foods every Saturday through November 3 https://t.co/cApXnldp4f https://t.co/Og6jAw9tcC,availability,"returns to, will sell, a variety of foods",,
861,"Get your fall favorites with a visit to @SchaumburgIL #Farmersmarket. Open today (Oct. 19) until 1pm. Stop by Town Square (Roselle & Schaumburg roads) for fresh flowers, produce, baked goods and more! The market runs until the end of October. https://t.co/LKYDVw428u https://t.co/tubpHBnrT3",NR,"visit to until, stop by",business,
862,"It's almost Saturday morning and you know what that means... Fresh finds are waiting for you at area Farmer's Markets! https://t.co/eLJ8pfv3lh

#IllinoisProud #EnjoyIllinois https://t.co/zBGplQnv6Y",quality,fresh finds,,
863,Very impressed with the pizza from Langhe Market at the Logan Square Farmers Market. The dough is so light. Available at their shop on Thursday. https://t.co/ZZpHuy7Lz5 https://t.co/DGBdcFmOtY,availability,"impressed, available",,
864,@houndsofluv it's a farmers market day! but its rainy and cold so idk if anyone is there,NR,,,
865,"Farmers markets foster civic engagement. According the USDA AMS, more than 60% of farmers markets are managed by volunteers https://t.co/UKAACTlzku #farmersmarketweek",politics,"volunteers, managed, USDA",,
866,"""Everything that we sell today was picked yesterday"" - Chad Nichols, on the freshness of the produce at the farmers market https://t.co/NBgKgTEYzI",quality,"sell, freshnesses produce",,
867,"Calling all musicians! 🎸 Want to make a little cash and play @RiversdeFarmMkt ? Openings for: 8/15, 8/29, 9/5, 9/12, 9/19, 9/26, 10/3 & 10/10. Contact janicefoley@riversidelibrary.org for more info! #farmersmarket #livemusic",environment,"musicians, play",,
868,Officially spending my Saturday’s at farmers markets and Trader Joe’s. 🤷🏻‍♀️ adulting is cooooool,NR,,,
869,Bobby marketstall is handing out surplus bushels. Grab one now! https://t.co/rtNbQwsxvk,NR,"grab, surplus, handling",business,
870,I’m back! No longer “tent-less” and staying dry! Come down to Batavia Farmers Market and support local artisans! #batavia #bataviaartisancollective #mainstreetbatavia #farmersmarket #supportlocalart #supportsmallbusiness #jenkellerart #kellerkiddodesigns… https://t.co/Cli6iShN8Y https://t.co/mh7usEj2rn,environment,"back, come down to, artisans",,
871,The Pekin Farmers Market is looking for volunteers! Interested? Have questions? Visit our website or comment down below! https://t.co/Nyb6ZgD0Ec,environment,"volunteers, come down",,
872,"Recipe of the day: Farmer's Market Potato Salad
Be sure, of course, to get the veggies from today's farmers market. https://t.co/YA8jnQSfLS",availability,"potato, salad, beggies",,
873,@Michell90013145 @leaflee11 It's pretty much the only option available in Chicago near me outside of farmers markets open at difficult times. Now I have some research to do,convenience,"only option, difficult times",,
874,"Hello, #farmersmarket week! August 5th - 11th is the time to find a farmers market near you, try new and local #foods and talk to the people who grew the food. Chat up your #farmers! https://t.co/MXH9SIulTq",NR,"is the time, try new and local",business,
875,"Today's Schedule of events includes the Roamer Car Show and Cruise Night, Labor Day Celebration, Farmers Market, Tenderloin Crawl, and the Streator History Walk. 

• Farmers Market 9 am to 1 pm at Streator City... https://t.co/CSP3Bsou9G",environment,"events, show, celebratin, history",,
876,Plainfield Farmers Market Returns To Downtown Plainfield https://t.co/ppUyrlGNu2,NR,returns to ,business,
877,Marquee at Block 37 apartments are steps from a seasonal farmers market https://t.co/nkJ9jruRrm,convenience,steps from,,
878,@RandaBee What do you make with it? I need ideas. We have so much of it at the farmers markets around us.,NR,,,
879,"The first Sunflowers of Summer fresh from the farmers market this morning. 
#summer #flowers #garden #michaelryandesign #home #farmersmarket #Evanston #designhounds https://t.co/Ym48PPiGcL",environment,sunflowers,,
880,"Here's a recipe to try while there is plenty of fresh fruit at the farmers market! 
https://t.co/3Z98KLjNcE  #endlesssummer #recipe #foodwelove @bangbangpie https://t.co/JFnqMLoRnq",availability,plenty of fresh fruit,,
881,@thekapman Only cheese from a farmers market tho...,availability,only,,
882,update: i got strawberries and apple turnover at the farmers market and saw a BLACK CAT!!!!!!!!!!,availability,"strawberries, apple",,
883,"One of the many things we ❤️ about Elgin?...

The Farmer's Market on Friday afternoons! Anyone planning on going?! #Elgin

https://t.co/2AayJgE8LV https://t.co/2AayJgE8LV",NR,,,
884,"Sweet, white 🍑 peaches are white on the •inside•! No need to adjust your set, folks! (@ Downtown Bloomington Farmers' Market in Bloomington, IL) https://t.co/g5lngUJLJf https://t.co/WkrSgz069g",quality,"sweet, white peaches",,
885,I’ve taken up cooking in my 30s. I plan out 4 meals a week after going to the farmers market on Sunday. It’s been my favorite part of this year. https://t.co/wYiYrm05qv,quality,"meals, favorite",,
886,I can’t believe that summer is almost over haven’t been to the farmers market ONE TIME. Going to buy all of the flowers on Saturday morning.,environment,flowers,,
887,Farmers Market Roundup {2018} – With Printable Calendar! https://t.co/UDFj8tWJlB https://t.co/Dtg5EDw6tV,NR,,,
888,Vicki and Catherine will be at the Farmers’ Market this morning. https://t.co/xLdU19z3DG,NR,,,
889,Start shopping at your local #FarmersMarket to enjoy richer and more nutritious produce - https://t.co/DMJ6cUFwe7 https://t.co/bSazcrxzbc,quality,"local, richer, more nutritous",,
890,"The @NicholsFarm #FarmersMarket continues through Fall! Shop for fresh produce, fruit and more Thursdays through October 25th > https://t.co/cUafmRcmCv",NR,"continues through, shop for",business,
891,Setting up for SORA market downtown Wheaton IL French Farmers Market.  Hope to see you today 8-2pm 🍎 https://t.co/laXrsxOLww,NR,hope to see you,business,
892,"In celebration of National Farmers Market Week City Market and N End City Market are offering triple value on SNAP purchases up to $20.  Stop out 8.10 or 8.11 and take advantage of this great savings. Remember, both markets are conveniently located on RMTD bus routes.  c u there!",politics,SNAP,,
893,Best crepes at Division Street Farmers Market - Gotta B Crepes #crepes #chicago #farmersmarket #divisionstreet @ Division Street Farmers Market https://t.co/vAO5cEsqTV,NR,,,
894,"Tomorrow, get an early workout at The Hyde Park Farmers Market at 7a, then use your coupon to get fresh produce for a post workout smoothie! Register here https://t.co/LpZeQi3Lyt https://t.co/eAnvUVs19A",politics,coupon,,
895,Now is the time to stock up on Southern Que bbq sauce as you prepare for Labor Day. Come by Carbondale Farmers Market this weekend a grab a bottle or two.......or three. See you Saturday.,NR,"now is the time, come by, grab",,
896,"Tomorrow is our last full #FarmersMarket at #ElisCheesecake! Join us for music, cheesecake, grilled lunch and more! https://t.co/o7e23oOXVL",environment,music,,
897,anyone wanna come over for a dougie battle then go to the farmers market,NR,,,
898,"Frozen Lake Trout from Logan Square Farmers market on jasmine rice, simple quick sauté in olive oil, sal pepper and freshly squeezed lemon to punch up the goodness!",NR,,,
899,Prepped some books for release tonight! Stop by our #littlefreelibrary during the @HomewoodIL farmers market tomorrow and grab them while you can ☔️ 📚 #bookcrossing #thinkhomewood https://t.co/49ykqHh18l,NR,"stop by, grab",business,
900,@WOC1420am Baxter says he’s going to behave at the Freight House Farmers’ Market. #woof 🐕 https://t.co/dguJ6aOhpH,NR,,,
901,Farmers Market weekends are back! Give me alllll… https://t.co/niQkCAIGCB,NR,,,
902,"Seasonal sage green, detail heavy, double breasted, high waist short wool jacket for autumn outings to the pumpkin patch or local farmers market. #fallfashion #sagegreen #woolcoat… https://t.co/dC9EFKafOm",availability,pumkin,,
903,"Next Weeks ""It's Thursday Concert""  ""1976"" a 70's Rock and Roll Band. Music starts at 7:30 pm, Don't forget the Farmers Market is at the band shell now. Come for the Market and stay for the Music. https://t.co/UgMXwLPSUT",environment,"music, band",,
904,"Farmers Market Downtown Pekin.
SOIL, COCO, COMPOST SALE!!
Today only.",NR,"SALE, today only",business,
905,Quick Bites: Local farmers markets keep produce selections fresh: https://t.co/gwmjuwD0qE https://t.co/5kgo5grrtm,quality,keep produce selections fresh,,
906,It's farmer's market season in #Evanston. Meet some of this year's new vendors: https://t.co/tmHyE7o0J4,environment,meet vendors,,
907,Happy day! Farmers market back. https://t.co/Rjrp6i14SL,NR,back,business,
908,When did it become common to go to the local farmers market in Crystal Lake and discover that most all the produce was bought from farms far away? Corn from southern Georgia! Berries from Michigan!!,quality,"corn, berries, discover, bought far",,consumers
909,@John_Kass Farmers Market fruit vendors have the sweetest berries & peaches plums(not quite yet though you’ll ever taste. Michigan farmers already bringing several varieties of strawberries that are unrivaled by anything sold in a supermarket!,availability,"sweetest berries, peaches plums, varieties of strawberries",,
910,"Visit the new 95th Street Farmers Market today and every Thursday through Sept. 27, 3-7 p.m. at the 95th Street Library parking lot. Additional parking available at Neuqua Valley High School Freshman Center, southeast of the library on Cedar Glade Drive. https://t.co/tNlIKetxXy https://t.co/M6PJxaDsrh",convenience,"parking, visit",business,
911,"Yesterday’s trip to the Farmer’s Market is today’s cinnamon roll for breakfast.
#Soulard #FarmersMarket #STL @ Soulard Farmers Market https://t.co/FNnp8kYPH1",NR,,,
912,"Thank you Joe Podlasek, Trickster Gallery and the Village of Schaumburg for your partnership @ComcastILLINOIS @JoePodlasek @SchaumburgIL @cspanbus was at Friday weekly Farmers Market. https://t.co/XazLwNr5ns",NR,,,
913,"Making fresh produce affordable for all patrons is a hallmark of the #OakPark Farmers' Market, which accepts SNAP/LINK cards and WIC and Senior coupons.
More info and details about the Market's double-value coupon program is at https://t.co/rMC0NhL447 under ""Payment Options."" https://t.co/5l657UTnBm",politics,"affordable, SNAP, coupon",,
914,Enjoy the bounty of the farmers market every week. Take a moment of time and enjoy picking out the best & freshest of vegetables to use in these simple and elegant recipes.  Our featured blog is full of tricks & recipes using the freshest ingredients. -- https://t.co/qxdK9CVTa7 https://t.co/XMUUQ8QnmZ,quality,"best, freshest vegetables",,
915,"A busy Thursday in Daley Plaza: Cook County Board President Toni Preckwinkle receives a big endorsement, while the farmers market comes to an end for the year. Hear both stories this afternoon on @WBBMNewsradio! https://t.co/KlvDBHtM6K",NR,,,
916,Farmers market is LIT,NR,,,
917,"You know what today is? Its Farmers Market eve, eve, eve..!!!

The season starts again this Thursday, 430 -730 pm. https://t.co/MbPicaXF94",NR,season starts again this,business,
918,"Boone County Health Department hosts farmers market, wellness fair https://t.co/dH9ztvcN98",safety,"health department, wellness",,
919,"ICYMI this week's #Evanston eNews features the Brummel Park Food Truck Fest & Starlight Concert, @ParkRecEvanston's World Arts & Music Festival, Downtown Evanston Farmers' Market recognition, @FJTheatre's next production and more! https://t.co/5pXXy6nOz3 https://t.co/K2XjJrl1jn",NR,,,
920,"Did you catch our newsletter yesterday? In case you missed it, you can find this Sunday's vendor line-up, seasonal items, job openings, and more below! https://t.co/crDgbXsxct",NR,,,
921,"It's National Farmers' Market Week!

https://t.co/AXg0NDkDUc https://t.co/AXg0NDkDUc",NR,,,
922,Just because you live in the #Chicago suburbs doesn't mean you have to miss out on #farmersmarket season. https://t.co/n0RWNa8AYF @CityofEvanston @DownersGroveVlg @CityofElmhurst @chicagobotanic @CityHPIL @vopnews @SchaumburgIL,NR,,,
923,@NoKidHungry | Christina School District's summer meal program expands to farmers market https://t.co/DUHz7KXwGq via @nwkpost,environment,"school, meal program",,
924,@HappilyNourishd Go to the farmers market and surprise fellow entrepreneurs 🌸,environment,entrepreneurs,,
925,"""You can catch the market Wednesdays and Saturdays from 8 a.m. to 12:30 p.m.

The market will also open for the moonlight market from 6 p.m. to 9 p.m. on May 16th.  ""
https://t.co/k3VZwJLboo https://t.co/k3VZwJLboo",NR,"catch, open for ",business,
926,Ride the trolley to City Market TONIGHT to celebrate Farmers Market Week. LINK triple value tonight $10=$30 @LInkUpIL @RockfordHousing https://t.co/gG6Pem1klp,environment,celebrate,,
927,"@bgg2wl @Karnythia There are so many farmers markets in food deserts, though... 🙄",economics,food deserts,,
928,"This is Tess, a previous intern that we were able to hire for a couple of months thanks to the Tyson grant @tysonfoods Her favorite part of her internship has been going to the farmers markets and learning all about the sustainable agriculture market. Sh… https://t.co/lXRJ45fG70 https://t.co/aTK9iEwjP3",environment,"intern, intership, sustainable agriculture",,
929,"It was a farmers market kind of morning 🍁🍎🌼 #fallinthecity #chicago #applesandjam @ Old Town, Chicago https://t.co/Aet2nX9R53",NR,,,
930,"The StreetWise Farmer's Market guide has info on 50+ #Chicago area markets, including @plantchicago's Farmers Market! Visit your favorite vendor. OUT NOW! https://t.co/cDKQrJJkcE",environment,favorite vendor,,
931,Get your fresh produce on! There's farmers markets happening every day of the week in #Chicago and the suburbs! Check out the guide: https://t.co/OoyxnIrJOJ #ChicagoBestBets https://t.co/PHh7N8OUN0,NR,"happening every day, check out",business,
932,@Samantha__Dyal Farmers markets are for produce and flea markets are for cheap items I believe,environment,"flea market, cheap",,
933,Aaaahhhh. It’s September. Which also means there are only a handful of Edgebrook Neighborhood Farmers Markets remaining. Head down today to EdgebrookElementarySchool 9am-1pm. Click the link to view the list of vendors compiled by Everyday Edgebrook. https://t.co/cbyb54nzLb,NR,head down today to,business,
